FIGHT_ID,BOUT,reason,method,outcome
65b4d4be2d04bb34,Brandon Vera vs. Thiago Silva,method_excluded;outcome_nc,Overturned,NC/NC
aa161809e78bef96,Karo Parisyan vs. Dong Hyun Kim,method_excluded;outcome_nc,Overturned,NC/NC
53343bd123bcf651,Gray Maynard vs. Rob Emerson,method_excluded;outcome_nc,Could Not Continue,NC/NC
2aa175f3ebffcdf2,Alessio Sakara vs. Ron Faircloth,method_excluded;outcome_nc,Could Not Continue,NC/NC
fe60fd0ee67902dc,Benji Radach vs. Steve Berger,method_excluded;outcome_nc,Overturned,NC/NC
651da45cc83ce011,Bobby Hoffman vs. Mark Robinson,method_excluded;outcome_nc,Overturned,NC/NC
2750ac5854e8b28b,Kazushi Sakuraba vs. Marcus Silveira,method_excluded;outcome_nc,Overturned,NC/NC
3932f8e9a74f3d11,Ken Shamrock vs. Oleg Taktarov,method_excluded,Other,D/D
db8df615610f3632,Ken Shamrock vs. Royce Gracie,method_excluded,Other,D/D
7e8749cbf32ef1f8,Alex Perez vs. Sumudaerji,method_excluded;outcome_nc,Could Not Continue,NC/NC
