fighter,use_surname,gdelt_volume,gdelt_active_days
nurullo aliev,false,21,10
marquel mederos,true,21,13
muin gafurov,true,21,13
westin wilson,false,20,7
jamall emmers,true,20,12
jean-paul lebosnoyani,true,20,14
kurtis campbell,false,20,12
daniel pineda,true,20,10
ramon taveras,true,20,12
shanelle dyer,false,20,16
viacheslav borshchev,true,19,15
ottman azaitar,true,19,11
hailey cowan,false,19,10
caolan loughran,true,19,17
yuneisy duben,false,19,11
karl williams,false,19,16
manoel sousa,false,18,10
xiong jingnan,true,18,10
keiichiro nakamura,false,18,8
marek bujlo,false,18,13
claudio puelles,true,18,11
polyana viana,false,18,16
marcio barbosa,false,18,10
ramazan temirov,true,17,15
tahir abdullayev,true,17,10
rodrigo sezinando,true,17,11
mizuki,true,17,9
zhu kangjie,true,17,10
tereza bleda,false,17,10
rolando bedoya,true,17,10
tommy gantt,false,17,10
hecher sosa,false,17,11
tecia pennington,false,17,9
jamie siraj,false,16,8
trey ogden,false,16,13
gokhan saricam,true,16,9
ernesta kareckaite,true,16,10
dennis buzukja,true,16,6
rodrigo vera,false,16,8
james llontop,true,16,15
luis felipe dias,false,15,8
christian edwards,false,15,7
juliana miller,false,15,11
daniel frunza,true,15,8
saygid izagakhmaev,true,15,6
lawrence lui,false,15,8
anshul jubli,false,15,14
josias musasa,true,15,9
juan diaz,false,15,12
matheus nicolau,true,15,15
guram kutateladze,true,14,13
maycee barber,true,14,14
nikolas motta,false,14,12
abdul-kareem al-selwady,true,14,9
taylor lapilus,true,14,12
bia mesquita,true,14,11
benardo sopaj,false,14,12
ihor potieria,true,14,14
cam rowston,true,14,9
damon jackson,false,13,13
julija stoliarenko,true,13,8
feng xiaocan,true,13,6
regina tarin,false,13,8
serhiy sidey,false,13,13
gabriel santos,false,12,9
alvin hines,false,12,8
loik radzhabov,true,12,10
montse rendon,true,12,9
melissa gatto,false,12,7
jefferson nascimento,false,12,5
aoriqileng,true,12,2
sangwook kim,false,12,6
song yadong,true,12,9
lucas rocha,false,12,9
andrea lee,false,11,10
kurt holobaugh,true,11,10
cameron saaiman,true,11,9
jose johnson,false,11,9
yanal ashmouz,true,11,11
joaquim silva,false,11,6
cody stamann,true,11,9
victor altamirano,true,11,10
kiru sahota,true,10,10
seokhyeon ko,false,10,9
dooho choi,false,10,7
joe solecki,true,10,9
luana carolina,true,10,10
levan chokheli,true,10,6
daria zhelezniakova,true,9,8
darrius flowers,true,9,8
julia avila,false,9,8
shi ming,false,9,6
john garza,false,9,4
erik silva,false,9,5
victor hugo,false,9,8
josefine knutsson,true,9,7
daniel barez,false,8,6
mariya agapova,true,8,6
matthew semelsberger,true,8,7
jj aldrich,true,8,3
artur minev,false,8,6
cj vergara,true,8,6
shane collins,false,8,6
tamires vidal,false,8,8
bassil hafez,false,8,8
elves brener,true,8,6
connor matthews,false,7,7
dan argueta,true,7,6
otari tanzilovi,true,7,6
josh culibao,true,7,6
diana belbita,true,7,6
jarno errens,true,7,6
klaudia sygula,true,7,7
ronaldo rodriguez,false,7,6
jessica penne,false,6,6
joosang yoo,false,6,4
allen frye jr.,false,6,5
maheshate,true,6,4
pannie kianzad,true,6,6
caio machado,false,6,6
vinc pichel,true,5,5
dylan budka,false,5,5
garrett armfield,true,5,5
seungwoo choi,false,5,5
asu almabayev,true,5,5
carlos vera,false,5,5
elise reed,false,5,4
denis tiuliulin,true,5,4
josiane nunes,false,5,5
jeka saragih,true,5,5
tyrell fortune,true,4,3
rongzhu,true,4,4
alibi idiris,true,4,4
changho lee,false,4,3
mark choinski,true,4,3
zygimantas ramaska,true,4,4
donghun choi,false,4,4
jose souza,false,4,2
